Sr,Date,month,year,Index,Open,High,Low,Close,Volume,Adjusted,RSI,pSAR
1375,15-06-2012,Jun,2012,TM,76.010002,76.580002,75.910004,76.5,179000,67.81472,60.26,199.33992
1376,18-06-2012,Jun,2012,TM,76.529999,77.18,76.5,76.849998,407800,68.124992,53.29,198.41632
1377,19-06-2012,Jun,2012,TM,76.720001,77.25,76.559998,76.889999,215000,68.160439,56.18,197.52967
1378,20-06-2012,Jun,2012,TM,77.190002,77.440002,76.739998,77.379997,271200,68.594818,57.38,196.67848
1379,21-06-2012,Jun,2012,TM,77.82,77.970001,76.199997,76.260002,299800,67.601982,60.47,195.86134
1380,22-06-2012,Jun,2012,TM,76.989998,77,76.389999,76.800003,188700,68.080666,58.52,195.07689
1381,25-06-2012,Jun,2012,TM,76.489998,76.559998,75.779999,76.089996,396000,67.451271,55.34,194.32381
1382,26-06-2012,Jun,2012,TM,76.440002,76.489998,75.849998,76.300003,515200,67.637436,55.84,193.60086
1383,27-06-2012,Jun,2012,TM,76.25,76.400002,76.099998,76.279999,415100,67.619698,57.62,192.90683
1384,28-06-2012,Jun,2012,TM,77.620003,78.110001,77.239998,78.040001,341500,69.179893,58.24,191.77242
1385,29-06-2012,Jun,2012,TM,80.269997,80.5,79.809998,80.480003,797000,71.342865,67.45,190.30662
1386,02-07-2012,Jul,2012,TM,80.339996,80.349998,79.599998,80.18,270700,71.076927,67.41,188.31096
1387,03-07-2012,Jul,2012,TM,80.639999,81.120003,80.529999,80.879997,174700,71.697456,68,186.11365
1388,05-07-2012,Jul,2012,TM,80.580002,80.779999,80.269997,80.620003,235200,71.466972,70.53,184.18001
1389,06-07-2012,Jul,2012,TM,80.080002,80.379997,79.709999,80.139999,162300,71.041466,68.94,181.99881
1390,09-07-2012,Jul,2012,TM,79.199997,79.349998,78.769997,79.339996,158600,70.332291,62.8,178.735
1391,10-07-2012,Jul,2012,TM,78.480003,78.480003,77.309998,77.589996,284000,68.780975,67.96,175.5067
1392,11-07-2012,Jul,2012,TM,77.5,77.730003,76.989998,77.360001,179900,68.577087,62.74,171.70536
1393,12-07-2012,Jul,2012,TM,76.080002,76.199997,75.43,75.910004,397100,67.291718,54.54,168.29429
1394,13-07-2012,Jul,2012,TM,75.720001,76.68,75.720001,76.550003,166400,67.859055,53.69,154.64999
1395,16-07-2012,Jul,2012,TM,76.199997,76.449997,76.029999,76.230003,159000,67.575386,50.5,154.91699
1396,17-07-2012,Jul,2012,TM,75.93,76.07,75.410004,75.879997,184500,67.265114,50.04,155.45631
1397,18-07-2012,Jul,2012,TM,75.900002,76.669998,75.879997,76.480003,240300,67.796989,52.56,156.68593
1398,19-07-2012,Jul,2012,TM,76.68,77.080002,76.629997,76.75,148000,68.036339,55.3,158.35906
1399,20-07-2012,Jul,2012,TM,75.400002,75.610001,75.110001,75.129997,252700,66.600266,50.8,159.89834
1400,23-07-2012,Jul,2012,TM,74.309998,74.449997,73.760002,74.230003,208200,65.80246,42.22,161.31447
1401,24-07-2012,Jul,2012,TM,73.470001,73.510002,72.559998,72.980003,338600,64.694366,43.43,163.23302
1402,25-07-2012,Jul,2012,TM,72.489998,72.800003,72.040001,72.510002,226400,64.277725,41.73,164.95972
1403,26-07-2012,Jul,2012,TM,73.860001,74.25,73.669998,74.110001,211800,65.696068,36.23,166.51375
1404,27-07-2012,Jul,2012,TM,75.309998,76.25,75.029999,76.089996,283800,67.451271,43.12,167.60001
1405,30-07-2012,Jul,2012,TM,75.389999,75.610001,75.169998,75.470001,187500,66.90168,52.77,167.7
1406,31-07-2012,Jul,2012,TM,77.040001,77.07,76.470001,76.510002,1462000,67.823593,55.16,168.98
1407,01-08-2012,Aug,2012,TM,77.080002,77.32,76.5,76.709999,1176600,68.000862,56.11,180.5
1408,02-08-2012,Aug,2012,TM,76.800003,77.190002,76.220001,77.029999,1199500,68.284561,54.73,180.25
1409,03-08-2012,Aug,2012,TM,80.139999,81.32,79.860001,81.059998,1725400,71.85701,53.4,179.644
1410,06-08-2012,Aug,2012,TM,80.309998,81.110001,79.800003,80.75,1414600,71.582214,59.32,179.06224
1411,07-08-2012,Aug,2012,TM,81.970001,82,81.629997,81.690002,322300,72.415489,63.37,165.10001
1412,08-08-2012,Aug,2012,TM,80.459999,81.150002,80.379997,80.940002,461100,71.750648,63.47,165.40801
1413,09-08-2012,Aug,2012,TM,81.309998,81.809998,81.260002,81.559998,206700,72.300247,61.49,166.13569
1414,10-08-2012,Aug,2012,TM,80.580002,81.550003,80.5,81.489998,257900,72.23819,61.15,167.37855
1415,13-08-2012,Aug,2012,TM,81.050003,81.400002,80.910004,80.989998,264300,71.79496,63.54,169.00826
1416,14-08-2012,Aug,2012,TM,80.5,80.629997,80.150002,80.339996,295600,71.218765,66.18,171.93744
1417,15-08-2012,Aug,2012,TM,80.120003,80.459999,80.040001,80.209999,191400,71.103523,#N/A,174.57369
1418,16-08-2012,Aug,2012,TM,81.82,82.459999,81.620003,82.309998,332100,72.965103,63.52,176.94632
1419,17-08-2012,Aug,2012,TM,82.580002,82.580002,82.379997,82.57,189700,73.19558,63.82,179.08169
1420,20-08-2012,Aug,2012,TM,82,82.029999,81.599998,81.669998,185300,72.397751,#N/A,198.3
1421,21-08-2012,Aug,2012,TM,82.540001,82.739998,81.75,81.900002,355000,72.601639,68.41,197.947
1422,22-08-2012,Aug,2012,TM,82.230003,82.690002,82.029999,82.459999,513600,73.098053,67.04,197.06712
1423,23-08-2012,Aug,2012,TM,82.540001,82.639999,81.839996,82.059998,275900,72.743484,67.26,196.22244
1424,24-08-2012,Aug,2012,TM,81.839996,82.529999,81.75,82.480003,150200,73.115799,62.23,194.87109
1425,27-08-2012,Aug,2012,TM,82,82,81.529999,81.589996,136500,72.326836,56.46,193.0374
1426,28-08-2012,Aug,2012,TM,80.800003,81.120003,80.699997,80.889999,215300,71.706322,54.13,190.67366
1427,29-08-2012,Aug,2012,TM,80.900002,81.099998,80.68,81,211200,71.803825,47.8,188.5463
1428,30-08-2012,Aug,2012,TM,80.620003,80.629997,80.019997,80.230003,177100,71.121254,51.37,186.63167
1429,31-08-2012,Aug,2012,TM,79.57,79.900002,79.010002,79.620003,3.00E+05,70.580498,44.56,169.39999
1430,04-09-2012,Sep,2012,TM,78.699997,79.050003,78.400002,78.730003,378900,69.79155,46.92,169.72999
1431,05-09-2012,Sep,2012,TM,78.089996,78.580002,78.010002,78.440002,467800,69.53447,41.43,170.05339
1432,06-09-2012,Sep,2012,TM,79.370003,80.370003,79.370003,80.32,351700,71.201027,43.31,170.37033
1433,07-09-2012,Sep,2012,TM,80.809998,81.739998,80.720001,81.669998,420500,72.397751,55.78,170.68092
1434,10-09-2012,Sep,2012,TM,82.190002,82.239998,81.629997,81.690002,251700,72.415489,57.87,185.89999
1435,11-09-2012,Sep,2012,TM,81.190002,81.519997,81.110001,81.300003,339500,72.069771,60.51,185
1436,12-09-2012,Sep,2012,TM,82.279999,82.419998,81.790001,82.07,268000,72.75235,64.25,183.88
1437,13-09-2012,Sep,2012,TM,81.389999,83.040001,81.220001,82.940002,377900,73.523582,64.63,182.7824
1438,14-09-2012,Sep,2012,TM,83.169998,83.739998,83.050003,83.18,349700,73.736336,74.31,181.70675
1439,17-09-2012,Sep,2012,TM,82.760002,82.790001,81.400002,81.410004,412000,72.167297,75.92,180.65262
1440,18-09-2012,Sep,2012,TM,81.260002,81.559998,81.139999,81.419998,395100,72.17614,74.37,179.61956
1441,19-09-2012,Sep,2012,TM,82.169998,82.690002,82.07,82.18,314800,72.849861,#N/A,178.60717
1442,20-09-2012,Sep,2012,TM,81.879997,82.050003,81.489998,81.940002,227800,72.6371,67.55,177.61503
1443,21-09-2012,Sep,2012,TM,82.080002,82.150002,81.5,81.5,121300,72.247063,74.95,176.64273
1444,24-09-2012,Sep,2012,TM,80.339996,80.550003,80.050003,80.5,341100,71.36058,72.16,175.68987
1445,25-09-2012,Sep,2012,TM,81.279999,81.449997,80.419998,80.480003,549500,71.949745,72.38,129
1446,26-09-2012,Sep,2012,TM,79.480003,79.540001,78.540001,78.669998,576400,70.331581,70.91,129.97
1447,27-09-2012,Sep,2012,TM,80,80.330002,79.660004,80.25,484400,71.744125,68.89,132.1092
1448,28-09-2012,Sep,2012,TM,78.199997,78.550003,78.059998,78.510002,646300,70.18856,72.18,135.34865
1449,01-10-2012,Oct,2012,TM,77.120003,77.599998,76.879997,77.07,578400,68.901184,73.06,138.39373
1450,02-10-2012,Oct,2012,TM,77,77.150002,76.57,76.849998,394500,68.704491,#N/A,141.25611
1451,03-10-2012,Oct,2012,TM,76.949997,77.300003,76.730003,77.089996,246400,68.919067,73.78,145.82362
1452,04-10-2012,Oct,2012,TM,78.720001,79.07,78.690002,78.980003,305900,70.608742,76.8,150.02573
1453,05-10-2012,Oct,2012,TM,77.959999,78.199997,77.589996,77.699997,312500,69.464401,70.49,153.89167
1454,08-10-2012,Oct,2012,TM,77.419998,77.559998,77.169998,77.339996,145500,69.142555,61.07,157.44834
1455,09-10-2012,Oct,2012,TM,76.440002,76.480003,75.790001,76.059998,294400,67.99823,63.2,160.72047
1456,10-10-2012,Oct,2012,TM,75.239998,75.279999,74.269997,74.5,550800,66.603577,57.03,163.73083
1457,11-10-2012,Oct,2012,TM,74.790001,75.220001,74.790001,74.849998,369600,66.916473,61.36,166.50037
1458,12-10-2012,Oct,2012,TM,75.169998,75.330002,74.519997,74.669998,197600,66.755569,57.77,169.04834
1459,15-10-2012,Oct,2012,TM,76.25,76.339996,75.830002,76.209999,341100,68.132324,58.68,171.39247
1460,16-10-2012,Oct,2012,TM,76.760002,77.379997,76.75,77.32,318700,69.124672,54.26,173.54908
1461,17-10-2012,Oct,2012,TM,77.940002,78.010002,77.650002,77.989998,278900,69.723663,55.39,175.53315
1462,18-10-2012,Oct,2012,TM,78.690002,78.739998,78.220001,78.510002,840400,70.18856,60.41,198.35001
1463,19-10-2012,Oct,2012,TM,78.43,78.5,77.559998,77.830002,310500,69.58062,56.38,197.88101
1464,22-10-2012,Oct,2012,TM,78.910004,79.139999,78.32,78.970001,484500,70.599808,59.18,196.78777
1465,23-10-2012,Oct,2012,TM,77.82,77.849998,77.360001,77.68,282600,69.446518,56.15,195.73826
1466,24-10-2012,Oct,2012,TM,77.779999,77.900002,77.209999,77.370003,198200,69.16938,#N/A,194.14296
1467,25-10-2012,Oct,2012,TM,78.559998,78.800003,78.019997,78.449997,526400,70.134911,57.42,192.01552
1468,26-10-2012,Oct,2012,TM,77.300003,77.620003,76.860001,77.360001,195100,69.160446,52.58,190.05828
1469,31-10-2012,Oct,2012,TM,76.959999,77.75,76.959999,77.470001,290700,69.258781,47.91,167.55
1470,01-11-2012,Nov,2012,TM,77.599998,78.120003,77.370003,78.050003,186200,69.777306,50.74,168.287
1471,02-11-2012,Nov,2012,TM,78.459999,78.5,77.699997,77.800003,157200,69.553802,56.08,169.91352
1472,05-11-2012,Nov,2012,TM,80.309998,81.419998,79.589996,81.349998,681000,72.727539,56.7,171.47498
1473,06-11-2012,Nov,2012,TM,81.169998,81.440002,80.940002,81.239998,324900,72.629181,58.66,173.75648
1474,07-11-2012,Nov,2012,TM,80.480003,80.5,79.480003,79.68,279800,71.234543,61.95,175.90109
1475,08-11-2012,Nov,2012,TM,79.029999,79.199997,78.260002,78.349998,223400,70.045509,58.93,177.91703
1476,09-11-2012,Nov,2012,TM,78.599998,79.050003,78.449997,78.650002,172600,70.313713,52.2,181.07567
1477,12-11-2012,Nov,2012,TM,77.790001,78.019997,77.690002,77.699997,157700,69.464401,51.89,184.8881
1478,13-11-2012,Nov,2012,TM,77.510002,78.160004,77.330002,77.870003,182100,69.616386,49.8,188.31929
1479,14-11-2012,Nov,2012,TM,76.970001,77.349998,76.169998,76.410004,381000,68.311134,#N/A,193.71097
1480,15-11-2012,Nov,2012,TM,79.459999,80.32,79.360001,80.260002,739400,71.753067,45.55,199.36544
1481,16-11-2012,Nov,2012,TM,82.110001,82.279999,81.360001,82.089996,522300,73.389091,39.77,205.75497
1482,19-11-2012,Nov,2012,TM,82.959999,83.32,82.860001,83.309998,361900,74.47979,39.52,211.80208
1483,20-11-2012,Nov,2012,TM,82.559998,83.050003,82.449997,82.870003,229000,74.086426,39.54,216.7607
1484,21-11-2012,Nov,2012,TM,84.019997,84.43,83.839996,84.43,285200,75.481064,46,217.60001
1485,23-11-2012,Nov,2012,TM,85.440002,85.690002,85.120003,85.610001,352900,76.535995,47.65,239.35001
1486,26-11-2012,Nov,2012,TM,86.580002,86.839996,86.230003,86.730003,438500,77.537308,49.06,238.84301
1487,27-11-2012,Nov,2012,TM,85.720001,85.800003,85.120003,85.239998,249500,76.205231,60.36,237.70129
1488,28-11-2012,Nov,2012,TM,84.449997,85.230003,83.800003,85.110001,302200,76.089005,#N/A,235.82921
1489,29-11-2012,Nov,2012,TM,85.599998,86.650002,85.550003,86.510002,300600,77.340614,68.41,233.20687
1490,30-11-2012,Nov,2012,TM,85.940002,86.220001,85.849998,86.080002,273300,76.956192,71.87,229.68619
1491,03-12-2012,Dec,2012,TM,85.620003,86.07,85.519997,85.660004,334500,76.580711,70.52,224.84584
